,Companies,Farm Segment,Solution Focus,Country,All Investors,Total Funding,country,code_2,code_3,country_code,iso_3166_2,continent,sub_region,region_code,sub_region_code,Funding,region
33,Agerpix,Crops,Monitoring & Management,Spain,"Ade Capital Sodical, SoriaFuturo",0.3,Spain,ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,150,39,300000,Europe
34,Agerris,Crops,Monitoring & Management,Australia,"BridgeLane, Carthona Capital, UniSeed",4.63,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,4630000,Oceania
35,Agersens,"Livestock, Poultry, & Meats",Monitoring & Management,Australia,"Department of Industry, Innovation and Science",2.69,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,2690000,Oceania
36,AgFunder,Crops,Business Planning & Finance,United States,500 Accelerator,0.28,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,280000,North America
37,AgGenetics,"Livestock, Poultry, & Meats",Biotech,United States,Finistere Ventures,1.87,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1870000,North America
38,Aggrigator,Crops,Distribution & Sales,United States,"Pramod Kabra, Elevate Innovation Partners",3.3,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,3300000,North America
39,AgLocal,"Livestock, Poultry, & Meats",Distribution & Sales,United States,"Andreessen Horowitz, Andy O'Hara, Dan Carroll, John Fohr, Matt Watson, OpenAir Equity Partners, Thad Langford, Xandex Investments, Artists & Instigators, Dundee Venture Capital, Pat LaFrieda, Serious Change Fund, Bob Trahan, Chicago Ventures, OkCupid, NewMe Accelerator",2.8,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2800000,North America
40,AgMonitor,Crops,Monitoring & Management,United States,The California Energy Commission,5.8,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,5800000,North America
41,AgNext Technologies,Crops,Monitoring & Management,India,"Omnivore Partners, Samir Kumar, Kalaari Capital, Alpha Wave Global, a-IDEA",25.1,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,25100000,Asia
42,Agragene,Crops,Biotech,United States,Ospraie Ag Science,5.35,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,5350000,North America
43,Agralogics,Crops,Monitoring & Management,United States,,4.43,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,4430000,North America
44,Agranimo,Crops,Monitoring & Management,Chile,"Parallel18, Merck Accelerator, SAP.iO Foundry",0.54,Chile,CL,CHL,152,ISO 3166-2:CL,Americas,South America,19,5,540000,South America
45,AgraQuest,Crops,Biotech,United States,"Biotechnology Development Fund, Far East Capital, Odyssey Capital, Tiona Fund, Vivo Capital, Burrill & Company, J.S.S. Management, King Ranch, Medienholding AG Winterthur, Rockefeller & Co., Boldcap Ventures, CDC Group, Dow Venture Capital, Sustainable Asset Management, Sustainable Performance Group, Swiss Re, Emerald Technology Ventures, JAIC, Otter Capital, Paul Reinhart, Bardin Hill Investment Partners, TPG Biotech, Foragen Technologies Management, Loudwater Investment Partners, Silicon Valley Bank, Generation Investment Management, Bayer CropScience - Bromacil Herbicide Business",116.94,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,116940000,North America
46,Agree,Crops,Distribution & Sales,Argentina,Grupo Sancor Seguros,2,Argentina,AR,ARG,32,ISO 3166-2:AR,Americas,South America,19,5,2000000,South America
47,Agreena,Crops,Distribution & Sales,Denmark,"Vækstfonden, Danish Green Future Fund, Giant Ventures, Kinnevik",32.21,Denmark,DK,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,150,154,32210000,Europe
48,Agrellus,Crops,Distribution & Sales,United States,"Plug and Play Accelerator, Plug and Play Ventures",3.6,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,3600000,North America
49,Agremo,Crops,Monitoring & Management,Serbia,"South Central Ventures, StartLabs, European Commission",0.75,Serbia,,RS,,,Europe,Eastern Europe,,,750000,Europe
50,Agren,Crops,Monitoring & Management,United States,"Plains Angels, Land O'Lakes",0.3,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,300000,North America
51,Agri Eye,Crops,Monitoring & Management,Ukraine,"1991 Open Data Incubator, Alexey Svirid, Katapult Accelerator",0.25,Ukraine,UA,UKR,804,ISO 3166-2:UA,Europe,Eastern Europe,150,151,250000,Europe
52,Agri Marketplace,Multi-faceted,Distribution & Sales,Portugal,"EIT Food, Startup Europe Smart Agrifood Summit, THRIVE Accelerator",0.17,Portugal,PT,PRT,620,ISO 3166-2:PT,Europe,Southern Europe,150,39,170000,Europe
53,Agri Mushroom and Multi-farming,Crops,Monitoring & Management,Bangladesh,Bangladesh Youth Leadership Center,0.01,Bangladesh,BD,BGD,50,ISO 3166-2:BD,Asia,Southern Asia,142,34,10000,Asia
54,Agriaku,Cros,Distribution & Sales,Indonesia,"Arise, MDI Ventures, Wright Partners, Centauri Fund, Go-Ventures, Mercy Corps Ventures",6,Indonesia,ID,IDN,360,ISO 3166-2:ID,Asia,South-Eastern Asia,142,35,6000000,Asia
55,Agrible,Crops,Monitoring & Management,United States,"Archer Daniels Midland Company, Flyover Capital, Serra Ventures, Maumee Ventures, iSelect Fund, Nutrien",13.95,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,13950000,North America
56,Agribot,Crops,Monitoring & Management,Poland,Impact Poland,0.05,Poland,PL,POL,616,ISO 3166-2:PL,Europe,Eastern Europe,150,151,50000,Europe
57,Agribotix,Crops,Monitoring & Management,United States,AgEagle Aerial Systems,0.81,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,810000,North America
58,Agribuddy,Crops,Business Planning & Finance,Cambodia,"Yorihiko Kato, iSGS Investment Works",0.73,Cambodia,KH,KHM,116,ISO 3166-2:KH,Asia,South-Eastern Asia,142,35,730000,Asia
59,Agricool,Crops,Monitoring & Management,France,"Daphni, Henri Seydoux, Jean-Daniel Guyot, Kima Ventures, Jacques-Antoine Granjon, Thibault Elziere, Bpifrance, Danone Manifesto Ventures, Marbeuf Capital, Solomon Hykes, XAnge Private Equity",41.9,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,41900000,Europe
60,Agricorp International,Crops,Business Planning & Finance,Nigeria,"Vami Nigeria, AFEX, One Capital Management",17.5,Nigeria,NG,NGA,566,ISO 3166-2:NG,Africa,Africa,2,11,17500000,Africa
61,Agricultural Information Design,Crops,Monitoring & Management,Japan,"A-FIVE, DG Ventures, Drone Fund, Open Network Lab, Sumitomo Corporation, Norinchukin Innovation Fund, SBI Investment",4.62,Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,142,30,4620000,Asia
62,Agricxlab,Crops,Packing & Supply Chain,India,"Ankur Capital, Centre for Innovation Incubation and Entrepreneurship, Google for Startups Accelerator, a-IDEA",0.5,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,500000,Asia
63,AgriData,Crops,Monitoring & Management,United States,"Fusion Fund, Alchemist Accelerator, Social Starts",1.22,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1220000,North America
64,AgriDigital,Crops,Distribution & Sales,Australia,Square Peg Capital,4.31,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,4310000,Oceania
65,Agrihouse,Crops,Monitoring & Management,United States,National Science Foundation,0.15,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,150000,North America
66,Agrikaab,Crops,Business Planning & Finance,Somalia,Fast Track Malmo,0.03,Somalia,SO,SOM,706,ISO 3166-2:SO,Africa,Eastern Africa,2,14,30000,Africa
67,Agrikids,Crops,Business Planning & Finance,Ireland,Enterprise Ireland,0.05,Ireland,IE,IRL,372,ISO 3166-2:IE,Europe,Northern Europe,150,154,50000,Europe
68,AgriMetis,Crops,Biotech,United States,"Acidophil, Syngenta Ventures, Alexandria Venture Investments, Anterra Capital, RA Capital Management, Paycheck Protection Program",43.63,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,43630000,North America
69,Agrinos,Crops,Biotech,Norway,"EuroChem, Havfonn, Manor Investment, American Vanguard",14.7,Norway,NO,NOR,578,ISO 3166-2:NO,Europe,Northern Europe,150,154,14700000,Europe
70,Agriphage,Crops,Biotech,Australia,Growlabs,0.02,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,20000,Oceania
71,Agriple,Multi-faceted,Distribution & Sales,Nigeria,iNOVO accelerator,0.02,Nigeria,NG,NGA,566,ISO 3166-2:NG,Africa,Africa,2,11,20000,Africa
72,Agripolis,Crops,Monitoring & Management,France,"Business Angels des Grandes Ecoles, Femmes Business Angels, Investessor, Badger AgVest, WeLikeStartup",1.72,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,1720000,Europe
73,AgriProtein,"Livestock, Poultry, & Meats",Monitoring & Management,South Africa,,122.5,South Africa,ZA,ZAF,710,ISO 3166-2:ZA,Africa,Southern Africa,2,18,122500000,Africa
74,Agrisoma BioSciences,Crops,Biotech,Canada,"Sustainable Development Technology Canada, Canada-Israel Industrial Research and Development Fund, BDC Venture Capital, Cycle Capital, Lune Rouge, Desjardins Capital",31.71,Canada,CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,19,21,31710000,North America
75,Agrist,Crops,Monitoring & Management,Japan,"Miyazaki Taiyo Capital, DOGAN Beta, ENEOS Innovation Partners, Incubate Fund, JAFCO, Miyagin Venture Capital, Shoko Chukin Bank",0.25,Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,142,30,250000,Asia
76,AgriSync,Crops,Monitoring & Management,United States,"Innova Memphis, Ag Ventures Alliance, Farm Journal, Innovation in Motion, Innovative Livestock Services, Twelve19 Ventures, AgLaunch, John Deere",0.92,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,920000,North America
77,Agritask,Crops,Monitoring & Management,Israel,"Barn Investimentos, The InsuResilience Investment Fund, EIT Food, Bridges Israel, Liechtenstein Group, Smart Agro Fund",35.09,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,35090000,Asia
78,AgriTrack,Crops,Monitoring & Management,New Zealand,Sprout Agritech,0.42,New Zealand,NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,9,53,420000,Oceania
79,Agrivi,Crops,Monitoring & Management,Croatia,"South Central Ventures, Agritech Hub, Croatian Bank for Reconstruction and Development, European Investment Fund, Fil Rouge Capital, Feelsgood Capital",6.7,Croatia,HR,HRV,191,ISO 3166-2:HR,Europe,Southern Europe,150,39,6700000,Europe
80,Agrivida,Crops,Biotech,United States,"Toyota, U.S. Department of Energy, U.S. Department of Agriculture, Univ of Connecticut Technology Incubation Program, Shin Nippon Biomedical Laboratories, incTANK Ventures, DAG Ventures, G Squared, Kleiner Perkins Caufield & Byers, Northgate Capital, PrairieGold Venture Partners, Presidio Ventures, Alexandria Venture Investments, Bright Capital, Cornerstone Angels, Syngenta Ventures, Cultivian Sandbox, Maschhoff Family Foods, Middleland Capital, Sontag Family Trust, ARCH Venture Partners, University of Texas Investment Management Company, Iowa Corn Opportunities, Technology Acceleration Partners, Batios Holdings, Open Prairie Ventures, SABIC Ventures, The Maschhoffs",77.69,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,77690000,North America
81,Agriwebb,"Livestock, Poultry, & Meats",Monitoring & Management,Australia,"Al Hamra Group, John Murray, muru-D, Pearse Lyons Cultivator, Commercialisation Australia, Wheatsheaf Investments, Clean Energy Finance Corporation, Jim Dobson, TELUS Ventures",37,Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,9,53,37000000,Oceania
82,Agro.Club,Crops,Business Planning & Finance,United States,"Elevator Ventures, Speedinvest, Rabo Frontier Ventures, VentureFriends",6.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,6500000,North America
83,AgroBazaar,Crops,Distribution & Sales,India,Z Nation Lab,0.05,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,50000,Asia
84,AgroCenta,Multi-faceted,Distribution & Sales,Ghana,"Fincluders Startup Challenge Amman, TechCrunch Startup Battlefield, Seedstars World, GreenTec Capital Partners, GSMA Ecosystem Accelerator Innovation Fund, NP Consulting, Seedstars, ACDI/VOCA, Government of UK, Rabobank, Shell Foundation",2.47,Ghana,GH,GHA,288,ISO 3166-2:GH,Africa,Africa,2,11,2470000,Africa
85,Agrofy,Multi-faceted,Distribution & Sales,Argentina,"NXTP Ventures, Bunge Ventures, Cresud, Endeavor, SP Ventures, Syngenta Ventures, Acre Capital, BrasilAgro Cia Brasileira de Propriedades Agricolas, Fall Line Capital, Capria, Acre Venture Partners, Yara Growth Ventures",66,Argentina,AR,ARG,32,ISO 3166-2:AR,Americas,South America,19,5,66000000,South America
86,Agrograph,Crops,Business Planning & Finance,United States,"Idea Fund, gBETA, Mucker Capital",0.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,500000,North America
87,Agrointeli,Crops,Monitoring & Management,Brazil,"Start-Up Brasil, ACE Accelerator, GVAngels",0.13,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,130000,South America
88,Agrointelli,Crops,Monitoring & Management,Denmark,"Nordic Alpha Partners, Vækstfonden",17.16,Denmark,DK,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,150,154,17160000,Europe
89,Agroland,Multi-faceted,Business Planning & Finance,Romania,,3.36,Romania,RO,ROU,642,ISO 3166-2:RO,Europe,Eastern Europe,150,151,3360000,Europe
90,Agrometrics,Multi-faceted,Monitoring & Management,United States,,0.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,500000,North America
91,Agronomic Technology Corp,Crops,Monitoring & Management,United States,"Armory Square Ventures, Arthur Ventures, Cayuga Venture Fund, Yara International",2.2,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2200000,North America
92,Agronow,Crops,Business Planning & Finance,Brazil,"THRIVE Accelerator, Cedro Capital, boostLAB, BTG Pactual, SVG Ventures",0.05,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,50000,South America
93,Agronutris,"Livestock, Poultry, & Meats",Biotech,France,"Government of France, Caisse d’Epargne, Cambridge Innovation Center, Credit Cooperatif, Midi-Pyrenees Energies Investissements, Bertrand Jelensperger, Bpifrance, Credit Agricole du Nord Est, Groupe Nutergia, Mirova",115.92,France,FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,150,155,115920000,Europe
94,Agroop,Crops,Monitoring & Management,Portugal,"Seedrs, Impulse UM6P, FIS Social Innovation Fund",2.18,Portugal,PT,PRT,620,ISO 3166-2:PT,Europe,Southern Europe,150,39,2180000,Europe
95,Agropro Monitor,Crops,Monitoring & Management,Brazil,TM3 Incorporadora,0.19,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,190000,South America
96,Agroptima,Crops,Monitoring & Management,Spain,"Carlos Blanco, Jordi Martorell, Ramon Dalmases, Tandem Capital, Horizon 2020, Athos Capital, ESADE Business Angels Network, EIT Digital Accelerator",2.25,Spain,ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,150,39,2250000,Europe
97,AgroScout,Crops,Monitoring & Management,Israel,"BIRD Foundation, Agriline, ExitValley, Kibbutz Yiron, The Trendlines Group, Israel Innovation Authority, Kibbutz Yotvata",10.5,Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,142,145,10500000,Asia
98,Agrosignal,Crops,Monitoring & Management,Russian Federation,"Internet Initiatives Development Fund, Digital Agro",1.74,Russian Federation,RU,RUS,643,ISO 3166-2:RU,Europe,Eastern Europe,150,151,1740000,Europe
99,AgroSmart,Crops,Monitoring & Management,Brazil,"Google for Startups Accelerator, Baita, SP Ventures, Cedro Capital, Positivo Venture, inovaBra, SVG Ventures, THRIVE Accelerator",6.9,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,6900000,South America
100,AgroSpheres,Crops,Biotech,United States,"Cavallo Ventures, Ospraie Management, Wells Fargo Innovation Incubator, Ospraie Ag Science, National Science Foundation",5.15,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,5150000,North America
101,AgroStar,Crops,Business Planning & Finance,India,"Aavishkaar, Chiratae Ventures, Accel, Bertelsmann India Investments, Rabo Frontier Ventures, Aavishkaar Bharat Fund, CDC Group, Evolvence India, Hero Enterprise, InnoVen Capital, Schroders",111.8,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,111800000,Asia
102,AgroSustain,Crops,Biotech,Switzerland,"EIT Food, Venture Kick, Climate-KIC Accelerator, Horizon 2020, Foundation for Technological Innovation, Agroecology Capital, Université de Lausanne, Climate-KIC, EIC Accelerator, BayWa r.e., JD Investments, Privilege Ventures",10.02,Switzerland,CH,CHE,756,ISO 3166-2:CH,Europe,Western Europe,150,155,10020000,Europe
103,AgroUrbana,Crops,Monitoring & Management,Chile,"CORFO, Engie Factory, Fundacion Chile, Zoma Capital, Chile Global Ventures, Kayyak Ventures",5,Chile,CL,CHL,152,ISO 3166-2:CL,Americas,South America,19,5,5000000,South America
104,Agrovisio,Crops,Monitoring & Management,United States,"EIT Food, Startupcampus, Startup Wise Guys, Cenciarini & Co, Cukurova, EGIAD, Galata Business Angels, Keiretsu Forum Turkiye",1.5,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1500000,North America
105,Agrowave,Crops,Packing & Supply Chain,India,"Daffodil Software, Government of Rajasthan, Sekhar Puli, Aroa Ventures",2.5,India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,142,34,2500000,Asia
106,Agrownow,Crops,Monitoring & Management,Brazil,SP Ventures,0.77,Brazil,BR,BRA,76,ISO 3166-2:BR,Americas,South America,19,5,770000,South America
107,AgShift,Crops,Monitoring & Management,United States,"SVG Ventures, THRIVE Accelerator, Exfinity Venture Partners, CerraCap Ventures",2.15,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,2150000,North America
108,AgSmarts,Crops,Monitoring & Management,United States,Innova Memphis,0.69,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,690000,North America
109,AgSquared,Crops,Monitoring & Management,United States,,1.77,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,1770000,North America
110,AgTec Innovations,Crops,Monitoring & Management,United States,,0.4,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,400000,North America
111,AgTech Accelerator,Multi-faceted,Business Planning & Finance,United States,"Elanco, Alexandria Venture Investments",20,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,20000000,North America
112,Agtonomy,Multi-faceted,Monitoring & Management,United States,"Google Ventures, Grit Ventures, Village Global, E2JDJ, Flybridge Capital Partners, Hampton VC, Momenta, Toyota Ventures",9,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,9000000,North America
113,Agtools,Multi-faceted,Business Planning & Finance,United States,"John G. Watson Quick Pitch, NuFund Venture Group, Techstars, Ideaship",0.18,United States,US,USA,840,ISO 3166-2:US,Americas,Northern America,19,21,180000,North America
